dv,demvotesh,repvotesh,year,stcd,openlag,red,inc,pv,southborder,lagdv,cutpoint,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,demmvlag,use
40.22654,38.43525,57.11175,1968,101,,0,-1,68.61826,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
38.19142,34.20736,55.36082,1968,102,,0,-1,64.33229,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,90.80029,0,1968,103,,0,1,70.68266,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
88.40257,81.37623,10.67566,1968,104,,0,1,60.135,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
82.57659,56.23957,11.86638,1968,105,,0,0,73.08212,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
33.25997,29.57191,59.33949,1968,106,,0,-1,54.88313,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
78.00669,76.10866,21.45818,1968,107,,0,1,30.28455,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,78.05929,0,1968,108,,0,1,41.75314,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
45.77412,45.77412,54.22588,1968,201,,0,-1,48.50091,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
28.3819,28.3819,71.6181,1968,301,,0,-1,33.15876,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
70.29257,70.29257,29.70743,1968,302,,0,1,45.7279,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
36.64098,36.64098,63.35902,1968,303,,0,-1,40.9519,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
