"election_id_slim","year","state","state_po","state_fips","state_cen","state_ic","office","district","election_id","candidate.D.congress","voteshare.D.congress","candidate.R.congress","voteshare.R.congress","candidate.R.governor","candidate.D.governor","voteshare.R.governor","voteshare.D.governor","candidate.D.president","candidate.R.president","voteshare.D.president","voteshare.R.president"
"AR_1976",1976,"ARKANSAS","AR",5,71,42,"US HOUSE",2,"AR_1976_2","JIM GUY TUCKER",0.863806404267125,"JAMES J KELLY",0.136145865029504,"Griffith, Leon","Pryor, David H.",0.1675,0.8325,"CARTER, JIMMY","FORD, GERALD",0.649617281296618,0.349043366100569
"AR_1976",1976,"ARKANSAS","AR",5,71,42,"US HOUSE",1,"AR_1976_1","BILL ALEXANDER",0.688562761431906,"HARLAN ""BO"" HOLLEMAN",0.311437238568094,"Griffith, Leon","Pryor, David H.",0.1675,0.8325,"CARTER, JIMMY","FORD, GERALD",0.649617281296618,0.349043366100569
"AR_1980",1980,"ARKANSAS","AR",5,71,42,"US HOUSE",2,"AR_1980_2","JAMES G ""JIM"" REID",0.209655104014282,"ED BETHUNE",0.789209293099601,"White, Frank D.","Clinton, Bill",0.5193,0.4807,"CARTER, JIMMY","REAGAN, RONALD",0.475226306200468,0.481342722264805
"AR_1984",1984,"ARKANSAS","AR",5,71,42,"US HOUSE",4,"AR_1984_4","BERYL ANTHONY JR",0.978970068288769,NA,NA,"Freeman, Woody","Clinton, Bill",0.3745,0.6255,"MONDALE, WALTER","REAGAN, RONALD",0.382907850014586,0.604670253254727
"AR_1984",1984,"ARKANSAS","AR",5,71,42,"US HOUSE",2,"AR_1984_2","TOMMY ROBINSON",0.470903190173408,"JUDY PETTY",0.414649509994112,"Freeman, Woody","Clinton, Bill",0.3745,0.6255,"MONDALE, WALTER","REAGAN, RONALD",0.382907850014586,0.604670253254727
"AR_1984",1984,"ARKANSAS","AR",5,71,42,"US HOUSE",1,"AR_1984_1","BILL ALEXANDER",0.972046447385327,NA,NA,"Freeman, Woody","Clinton, Bill",0.3745,0.6255,"MONDALE, WALTER","REAGAN, RONALD",0.382907850014586,0.604670253254727
"DE_1976",1976,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1976_0","SAMUEL L SHIPLEY",0.476141990375898,"THOMAS B EVANS JR",0.514382685914871,"du Pont, Pierre S. IV","Tribbitt, Sherman W.",0.5725,0.4275,"CARTER, JIMMY","FORD, GERALD",0.519690887023536,0.465876202035291
"DE_1980",1980,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1980_0","ROBERT L MAXWELL",0.37505252222094,"THOMAS B EVANS JR",0.617993766593559,"du Pont, Pierre S. IV","Gordy, William J.",0.7123,0.2877,"CARTER, JIMMY","REAGAN, RONALD",0.44874144983621,0.472070879372677
"DE_1984",1984,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1984_0","THOMAS R CARPER",0.584616524150872,"ELISE DU PONT",0.414173669006724,"Castle, Michael N.","Quillen, William T.",0.5553,0.4447,"MONDALE, WALTER","REAGAN, RONALD",0.399321213644863,0.597826940904734
"DE_1988",1988,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1988_0","THOMAS R CARPER",0.675166405846911,"JAMES P KRAPF",0.324833594153089,"Castle, Michael N.","Kreshtoll, Jacob",0.7073,0.2927,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.434777563017476,0.558799636641576
"DE_1992",1992,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1992_0","S B WOO",0.425265460445307,"MICHAEL N CASTLE",0.554232880879605,"Scott, B. Gary","Carper, Thomas R.",0.3359,0.6641,"CLINTON, BILL","BUSH, GEORGE H.W.",0.435239279055314,0.353266349009046
